,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9907,1.0,0.9906998642471111,,,,,,,,,,
1,dbpedia_text qnli_text,0.9705428571428572,0.35000000000000003,0.9714974155881408,,,0.7691744462749405,0.7109786843914737,,,,,,
2,dbpedia_text sst2_text,0.9903571428571428,0.9,0.9903661034914529,,,,,0.0,0.0,,,,
3,dbpedia_text trec_coarse_text,0.9893142857142857,0.8500000000000001,0.9893322107343383,,,,,,,0.0,0.0,,
4,mnli_text,,1.0,,0.853998981151299,0.8531326432228795,,,,,,,,
5,mnli_text dbpedia_text,0.42192857142857143,0.65,0.45405159287369884,0.5281711665817627,0.467724472188593,,,,,,,,
6,mnli_text qnli_text,,0.7000000000000001,,0.845236882322975,0.8455840550401952,0.8945634266886326,0.9005524861878453,,,,,,
7,mnli_text sst2_text,,0.75,,0.8530820173204279,0.8529212504105366,,,0.0,0.0,,,,
8,mnli_text trec_coarse_text,,0.65,,0.8517575140091697,0.8516721829357575,,,,,0.0,0.0,,
9,mnli_text yelp_polarity_text,,0.30000000000000004,,0.6266938359653591,0.6266621665970105,,,,,,,0.9483684210526315,0.9491894131662092
10,qnli_text,,1.0,,,,0.9342851912868387,0.9345726262073993,,,,,,
11,qnli_text sst2_text,,0.9,,,,0.9326377448288486,0.9328221978824388,0.9357798165137615,0.9372197309417041,,,,
12,qnli_text trec_coarse_text,,0.8,,,,0.9267801574226615,0.9258710155670868,,,0.432,0.3812587193576859,,
13,sst2_text,,1.0,,,,,,0.9392201834862385,0.9409141583054627,,,,
14,trec_coarse_text,,1.0,,,,,,,,0.964,0.9517462861212862,,
15,trec_coarse_text sst2_text,,0.45,,,,,,0.9357798165137615,0.9366515837104072,0.0,0.0,,
16,yelp_polarity_text,,1.0,,,,,,,,,,0.9715,0.97145116646896
17,yelp_polarity_text dbpedia_text,0.0,0.9,0.0,,,,,,,,,0.9539736842105263,0.9550512708488602
18,yelp_polarity_text qnli_text,,0.35000000000000003,,,,0.9247666117517848,0.9251774986346257,,,,,0.9626578947368422,0.9626293750493797
19,yelp_polarity_text sst2_text,,0.4,,,,,,0.9151376146788991,0.9149425287356322,,,0.9632631578947368,0.9634975420981069
20,yelp_polarity_text trec_coarse_text,,1.0,,,,,,,,0.0,0.0,0.9712368421052632,0.9712421396058621
